date,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WetBulbCelsius
1/1/2010 0:00,7,-14,67,-10.3
1/1/2010 1:00,7,-14,67,-10.3
1/1/2010 2:00,7,-14,67,-10.3
1/1/2010 3:00,7,-14,67,-10.3
1/1/2010 4:00,9,-13,74,-10
1/1/2010 5:00,9,-13,74,-10
1/1/2010 6:00,7,-14,67,-10.3
1/1/2010 7:00,9,-13,68,-9.3
1/1/2010 8:00,10,-12,68,-8.8
1/1/2010 9:00,3,-16,35,-6.9
1/1/2010 10:00,9,-13,41,-5.1
1/1/2010 11:00,16,-9,48,-2.7
1/1/2010 12:00,19,-7,50,-1.5
1/1/2010 13:00,21,-6,48,-0.2
1/1/2010 14:00,23,-5,57,-0.4
1/1/2010 15:00,25,-4,64,-0.3
1/1/2010 16:00,23,-5,69,-2
1/1/2010 17:00,21,-6,69,-3
1/1/2010 18:00,23,-5,82,-3.3
1/1/2010 19:00,23,-5,82,-3.3
1/1/2010 20:00,25,-4,89,-2.8
1/1/2010 21:00,14,-10,64,-5.8
1/1/2010 22:00,21,-6,75,-3.7
1/1/2010 23:00,19,-7,69,-4.1
1/2/2010 0:00,21,-6,75,-3.7
1/2/2010 1:00,21,-6,75,-3.7
1/2/2010 2:00,25,-4,89,-2.9
1/2/2010 3:00,23,-5,75,-2.6
1/2/2010 4:00,27,-3,89,-1.8
1/2/2010 5:00,27,-3,96,-2.4
1/2/2010 6:00,27,-3,89,-1.8
1/2/2010 7:00,25,-4,82,-2.2
1/2/2010 8:00,25,-4,75,-1.6
1/2/2010 9:00,25,-4,89,-2.9
1/2/2010 10:00,23,-5,75,-2.6
1/2/2010 11:00,21,-6,64,-2.4
1/2/2010 12:00,21,-6,69,-3
1/2/2010 13:00,21,-6,69,-3
1/2/2010 14:00,18,-8,52,-2.3
1/2/2010 15:00,12,-11,40,-3.3
1/2/2010 16:00,12,-11,47,-4.6
1/2/2010 17:00,12,-11,47,-4.6
1/2/2010 18:00,16,-9,69,-5.6
1/2/2010 19:00,16,-9,81,-7
1/2/2010 20:00,14,-10,81,-8.1
1/2/2010 21:00,12,-11,68,-7.7
1/2/2010 22:00,12,-11,74,-8.4
1/2/2010 23:00,10,-12,71,-9.1
1/3/2010 0:00,10,-12,77,-9.9
1/3/2010 1:00,10,-12,77,-9.9
1/3/2010 2:00,9,-13,74,-10
1/3/2010 3:00,9,-13,74,-10
1/3/2010 4:00,9,-13,74,-10
1/3/2010 5:00,7,-14,67,-10.3
1/3/2010 6:00,7,-14,74,-11.1
1/3/2010 7:00,7,-14,67,-10.3
1/3/2010 8:00,7,-14,62,-9.6
1/3/2010 9:00,9,-13,60,-8.2
1/3/2010 10:00,10,-12,53,-6.6
1/3/2010 11:00,9,-13,41,-5.1
1/3/2010 12:00,10,-12,43,-4.9
1/3/2010 13:00,12,-11,47,-4.6
1/3/2010 14:00,12,-11,47,-4.6
1/3/2010 15:00,14,-10,56,-5
1/3/2010 16:00,16,-9,63,-5
1/3/2010 17:00,16,-9,69,-5.6
1/3/2010 18:00,12,-11,68,-7.7
1/3/2010 19:00,12,-11,74,-8.4
1/3/2010 20:00,10,-12,71,-9.1
1/3/2010 21:00,10,-12,71,-9.1
1/3/2010 22:00,9,-13,74,-10
1/3/2010 23:00,9,-13,74,-10
1/4/2010 0:00,9,-13,74,-10
1/4/2010 1:00,9,-13,74,-10
1/4/2010 2:00,7,-14,67,-10.3
1/4/2010 3:00,7,-14,67,-10.3
1/4/2010 4:00,7,-14,74,-11.1
1/4/2010 5:00,5,-15,62,-10.6
1/4/2010 6:00,5,-15,62,-10.6
1/4/2010 7:00,5,-15,62,-10.6
1/4/2010 8:00,5,-15,62,-10.6
1/4/2010 9:00,7,-14,50,-7.8
1/4/2010 10:00,9,-13,45,-5.8
1/4/2010 11:00,5,-15,32,-5
1/4/2010 12:00,1,-17,24,-4.8
1/4/2010 13:00,5,-15,26,-3.3
1/4/2010 14:00,7,-14,28,-3.1
1/4/2010 15:00,7,-14,28,-3.1
1/4/2010 16:00,9,-13,35,-3.8
1/4/2010 17:00,10,-12,47,-5.6
1/4/2010 18:00,10,-12,47,-5.6
1/4/2010 19:00,10,-12,47,-5.6
1/4/2010 20:00,12,-11,58,-6.3
1/4/2010 21:00,12,-11,63,-7
1/4/2010 22:00,12,-11,63,-7
1/4/2010 23:00,12,-11,58,-6.3
1/5/2010 0:00,12,-11,58,-6.3
1/5/2010 1:00,12,-11,58,-6.3
1/5/2010 2:00,12,-11,58,-6.3
1/5/2010 3:00,12,-11,58,-6.3
1/5/2010 4:00,12,-11,58,-6.3
1/5/2010 5:00,12,-11,58,-6.3
1/5/2010 6:00,12,-11,58,-6.3
1/5/2010 7:00,10,-12,53,-6.6
1/5/2010 8:00,12,-11,53,-5.6
1/5/2010 9:00,14,-10,56,-5
1/5/2010 10:00,16,-9,48,-2.7
1/5/2010 11:00,10,-12,28,-1.4
1/5/2010 12:00,9,-13,29,-2.2
1/5/2010 13:00,9,-13,29,-2.2
1/5/2010 14:00,10,-12,30,-2.1
1/5/2010 15:00,10,-12,33,-2.7
1/5/2010 16:00,12,-11,37,-2.7
1/5/2010 17:00,14,-10,47,-3.7
1/5/2010 18:00,14,-10,51,-4.3
1/5/2010 19:00,16,-9,56,-4
1/5/2010 20:00,14,-10,56,-5
1/5/2010 21:00,12,-11,53,-5.6
1/5/2010 22:00,12,-11,51,-5.3
1/5/2010 23:00,10,-12,49,-6
1/6/2010 0:00,10,-12,47,-5.6
1/6/2010 1:00,10,-12,49,-6
1/6/2010 2:00,12,-11,53,-5.6
1/6/2010 3:00,12,-11,53,-5.6
1/6/2010 4:00,10,-12,53,-6.6
1/6/2010 5:00,12,-11,58,-6.3
1/6/2010 6:00,12,-11,53,-5.6
1/6/2010 7:00,12,-11,58,-6.3
1/6/2010 8:00,14,-10,56,-5
1/6/2010 9:00,19,-7,59,-2.8
1/6/2010 10:00,21,-6,59,-1.8
1/6/2010 11:00,21,-6,55,-1.1
1/6/2010 12:00,23,-5,59,-0.8
1/6/2010 13:00,21,-6,55,-1.2
1/6/2010 14:00,21,-6,52,-0.8
1/6/2010 15:00,21,-6,55,-1.2
1/6/2010 16:00,21,-6,55,-1.2
1/6/2010 17:00,21,-6,55,-1.2
1/6/2010 18:00,25,-4,70,-1
1/6/2010 19:00,23,-5,64,-1.4
1/6/2010 20:00,23,-5,69,-2
1/6/2010 21:00,25,-4,75,-1.6
1/6/2010 22:00,25,-4,82,-2.2
1/6/2010 23:00,23,-5,75,-2.6
1/7/2010 0:00,23,-5,75,-2.6
1/7/2010 1:00,23,-5,75,-2.6
1/7/2010 2:00,21,-6,78,-4
1/7/2010 3:00,19,-7,78,-5.1
1/7/2010 4:00,18,-8,75,-5.3
1/7/2010 5:00,18,-8,88,-6.7
1/7/2010 6:00,16,-9,88,-7.7
1/7/2010 7:00,16,-9,88,-7.7
1/7/2010 8:00,16,-9,88,-7.7
1/7/2010 9:00,16,-9,74,-6.3
1/7/2010 10:00,16,-9,61,-4.6
1/7/2010 11:00,16,-9,56,-4
1/7/2010 12:00,12,-11,47,-4.6
1/7/2010 13:00,-2,-19,25,-6.4
1/7/2010 14:00,-8,-22,19,-6.9
1/7/2010 15:00,-8,-22,20,-7.6
1/7/2010 16:00,-4,-20,25,-7.7
1/7/2010 17:00,3,-16,38,-7.6
1/7/2010 18:00,10,-12,62,-8.1
1/7/2010 19:00,7,-14,59,-9.2
1/7/2010 20:00,0,-18,45,-10.5
1/7/2010 21:00,-2,-19,45,-11.5
1/7/2010 22:00,-2,-19,53,-13
1/7/2010 23:00,-4,-20,44,-12.5
1/8/2010 0:00,-6,-21,44,-13.4
1/8/2010 1:00,-8,-22,40,-13.6
1/8/2010 2:00,-9,-23,38,-13.7
1/8/2010 3:00,-13,-25,31,-14
1/8/2010 4:00,-15,-26,28,-14.1
1/8/2010 5:00,-18,-28,24,-14.3
1/8/2010 6:00,-15,-26,31,-14.9
1/8/2010 7:00,-15,-26,31,-14.9
1/8/2010 8:00,-17,-27,21,-12.6
1/8/2010 9:00,-15,-26,19,-10.6
1/8/2010 10:00,-9,-23,20,-8.1
1/8/2010 11:00,-9,-23,20,-8.1
1/8/2010 12:00,-18,-28,10,-6.8
1/8/2010 13:00,-17,-27,10,-6
1/8/2010 14:00,-17,-27,11,-6.7
1/8/2010 15:00,-15,-26,12,-6.6
1/8/2010 16:00,-15,-26,14,-8.1
1/8/2010 17:00,-13,-25,16,-8.3
1/8/2010 18:00,-6,-21,25,-8.5
1/8/2010 19:00,-6,-21,30,-10
1/8/2010 20:00,-8,-22,27,-10.1
1/8/2010 21:00,-6,-21,32,-10.7
1/8/2010 22:00,-6,-21,30,-10
1/8/2010 23:00,-8,-22,27,-10.2
1/9/2010 0:00,-8,-22,27,-10.2
1/9/2010 1:00,-6,-21,25,-8.5
1/9/2010 2:00,-8,-22,27,-10.2
1/9/2010 3:00,-8,-22,27,-10.2
1/9/2010 4:00,-8,-22,27,-10.2
1/9/2010 5:00,-8,-22,27,-10.2
1/9/2010 6:00,-8,-22,29,-10.9
1/9/2010 7:00,-8,-22,27,-10.2
1/9/2010 8:00,-9,-23,22,-8.8
1/9/2010 9:00,-8,-22,20,-7.6
1/9/2010 10:00,-8,-22,16,-5.6
1/9/2010 11:00,-17,-27,9,-5
1/9/2010 12:00,-15,-26,9,-4.3
1/9/2010 13:00,-9,-23,12,-4
1/9/2010 14:00,-9,-23,12,-4
1/9/2010 15:00,-8,-22,13,-3.9
1/9/2010 16:00,-2,-19,21,-5.1
1/9/2010 17:00,0,-18,25,-5.5
1/9/2010 18:00,1,-17,29,-6.1
1/9/2010 19:00,3,-16,34,-6.6
1/9/2010 20:00,5,-15,39,-6.6
1/9/2010 21:00,3,-16,35,-6.9
1/9/2010 22:00,3,-16,38,-7.6
1/9/2010 23:00,3,-16,42,-8.3
1/10/2010 0:00,3,-16,38,-7.6
1/10/2010 1:00,3,-16,38,-7.6
1/10/2010 2:00,1,-17,35,-7.8
1/10/2010 3:00,1,-17,38,-8.5
1/10/2010 4:00,-2,-19,30,-8.2
1/10/2010 5:00,0,-18,33,-7.9
1/10/2010 6:00,0,-18,33,-7.9
1/10/2010 7:00,3,-16,35,-6.9
1/10/2010 8:00,3,-16,35,-6.9
1/10/2010 9:00,9,-13,41,-5.1
1/10/2010 10:00,9,-13,32,-3.1
1/10/2010 11:00,18,-8,37,0.3
1/10/2010 12:00,19,-7,38,0.5
1/10/2010 13:00,19,-7,38,0.5
1/10/2010 14:00,14,-10,33,-0.8
1/10/2010 15:00,14,-10,36,-1.4
1/10/2010 16:00,14,-10,40,-2.4
1/10/2010 17:00,14,-10,44,-3
1/10/2010 18:00,16,-9,56,-4
1/10/2010 19:00,18,-8,61,-3.6
1/10/2010 20:00,16,-9,61,-4.6
1/10/2010 21:00,16,-9,63,-5
1/10/2010 22:00,16,-9,61,-4.6
1/10/2010 23:00,16,-9,63,-5
1/11/2010 0:00,16,-9,63,-5
1/11/2010 1:00,12,-11,53,-5.6
1/11/2010 2:00,12,-11,53,-5.6
1/11/2010 3:00,10,-12,53,-6.6
1/11/2010 4:00,9,-13,47,-6.1
1/11/2010 5:00,9,-13,51,-6.8
1/11/2010 6:00,5,-15,42,-7.3
1/11/2010 7:00,7,-14,43,-6.4
1/11/2010 8:00,7,-14,41,-6
1/11/2010 9:00,7,-14,38,-5.4
1/11/2010 10:00,9,-13,32,-3.1
1/11/2010 11:00,10,-12,30,-2
1/11/2010 12:00,10,-12,26,-0.8
1/11/2010 13:00,10,-12,24,-0.2
1/11/2010 14:00,12,-11,28,-0.5
1/11/2010 15:00,12,-11,28,-0.5
1/11/2010 16:00,14,-10,39,-2.1
1/11/2010 17:00,16,-9,44,-2
1/11/2010 18:00,16,-9,52,-3.3
1/11/2010 19:00,14,-10,51,-4.3
1/11/2010 20:00,12,-11,47,-4.6
1/11/2010 21:00,12,-11,47,-4.6
1/11/2010 22:00,12,-11,47,-4.6
1/11/2010 23:00,12,-11,47,-4.6
1/12/2010 0:00,10,-12,43,-4.9
1/12/2010 1:00,7,-14,38,-5.4
1/12/2010 2:00,7,-14,41,-6
1/12/2010 3:00,7,-14,43,-6.4
1/12/2010 4:00,5,-15,42,-7.3
1/12/2010 5:00,3,-16,35,-6.9
1/12/2010 6:00,3,-16,35,-6.9
1/12/2010 7:00,1,-17,35,-7.8
1/12/2010 8:00,1,-17,31,-6.8
1/12/2010 9:00,0,-18,27,-6.2
1/12/2010 10:00,3,-16,25,-3.9
1/12/2010 11:00,-2,-19,15,-2.2
1/12/2010 12:00,0,-18,14,-1.1
1/12/2010 13:00,7,-14,21,-0.6
1/12/2010 14:00,7,-14,21,-0.6
1/12/2010 15:00,5,-15,19,-0.8
1/12/2010 16:00,7,-14,24,-1.8
1/12/2010 17:00,9,-13,31,-2.8
1/12/2010 18:00,10,-12,37,-3.6
1/12/2010 19:00,9,-13,35,-3.8
1/12/2010 20:00,5,-15,32,-5
1/12/2010 21:00,3,-16,27,-4.5
1/12/2010 22:00,1,-17,26,-5.4
1/12/2010 23:00,1,-17,29,-6.1
1/13/2010 0:00,1,-17,29,-6.1
1/13/2010 1:00,1,-17,29,-6.1
1/13/2010 2:00,1,-17,29,-6.1
1/13/2010 3:00,1,-17,29,-6.1
1/13/2010 4:00,1,-17,29,-6.1
1/13/2010 5:00,0,-18,30,-6.9
1/13/2010 6:00,1,-17,32,-7.1
1/13/2010 7:00,1,-17,31,-6.8
1/13/2010 8:00,5,-15,34,-5.6
1/13/2010 9:00,5,-15,32,-5
1/13/2010 10:00,7,-14,30,-3.4
1/13/2010 11:00,5,-15,22,-2.1
1/13/2010 12:00,10,-12,24,-0.2
1/13/2010 13:00,10,-12,24,-0.3
1/13/2010 14:00,12,-11,28,-0.6
1/13/2010 15:00,12,-11,30,-1.2
1/13/2010 16:00,12,-11,33,-1.8
1/13/2010 17:00,14,-10,39,-2.1
1/13/2010 18:00,14,-10,40,-2.4
1/13/2010 19:00,14,-10,44,-3
1/13/2010 20:00,18,-8,52,-2.3
1/13/2010 21:00,18,-8,52,-2.3
1/13/2010 22:00,19,-7,64,-3.4
1/13/2010 23:00,19,-7,64,-3.4
1/14/2010 0:00,19,-7,64,-3.4
1/14/2010 1:00,19,-7,64,-3.4
1/14/2010 2:00,21,-6,78,-4
1/14/2010 3:00,21,-6,78,-4
1/14/2010 4:00,21,-6,78,-4
1/14/2010 5:00,21,-6,78,-4
1/14/2010 6:00,19,-7,78,-5.1
1/14/2010 7:00,19,-7,78,-5.1
1/14/2010 8:00,19,-7,72,-4.4
1/14/2010 9:00,19,-7,69,-4.1
1/14/2010 10:00,19,-7,50,-1.5
1/14/2010 11:00,21,-6,55,-1.1
1/14/2010 12:00,21,-6,52,-0.8
1/14/2010 13:00,21,-6,52,-0.8
1/14/2010 14:00,18,-8,43,-0.8
1/14/2010 15:00,19,-7,50,-1.5
1/14/2010 16:00,18,-8,52,-2.3
1/14/2010 17:00,18,-8,61,-3.6
1/14/2010 18:00,19,-7,64,-3.4
1/14/2010 19:00,19,-7,69,-4.1
1/14/2010 20:00,18,-8,69,-4.6
1/14/2010 21:00,18,-8,75,-5.3
1/14/2010 22:00,18,-8,75,-5.3
1/14/2010 23:00,16,-9,69,-5.6
1/15/2010 0:00,16,-9,81,-7
1/15/2010 1:00,16,-9,81,-7
1/15/2010 2:00,14,-10,74,-7.4
1/15/2010 3:00,14,-10,74,-7.4
1/15/2010 4:00,14,-10,74,-7.4
1/15/2010 5:00,14,-10,74,-7.4
1/15/2010 6:00,12,-11,68,-7.7
1/15/2010 7:00,10,-12,68,-8.8
1/15/2010 8:00,12,-11,63,-7
1/15/2010 9:00,12,-11,53,-5.6
1/15/2010 10:00,12,-11,47,-4.6
1/15/2010 11:00,12,-11,37,-2.7
1/15/2010 12:00,10,-12,33,-2.7
1/15/2010 13:00,9,-13,29,-2.2
1/15/2010 14:00,3,-16,20,-2.3
1/15/2010 15:00,7,-14,26,-2.4
1/15/2010 16:00,14,-10,40,-2.4
1/15/2010 17:00,18,-8,61,-3.6
1/15/2010 18:00,18,-8,66,-4.3
1/15/2010 19:00,16,-9,61,-4.6
